doc_no,company_code,fisc_year,line_no,post_date,doc_date,fisc_month,acc_code,acc_name,acc_type,amount,dc_indicator,counterparty,department,description,doc_type,reversal_yn,reversal_ref,_post_year,_post_month,_post_day,_post_weekday,_post_quarter,_is_weekend,_fisc_month_int,_debit,_credit,_amount,_is_pl,_is_reversal_flag,_flag_weekend,_flag_reversal,_flag_out_of_period,_flag_duplicate
5105600102,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),150,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,150,0,150,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5105600103,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),1200,차변(Debit),,,,매입송장,해당없음,,2022,1,23,Sunday,1,TRUE,1,1200,0,1200,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5105600104,C001,2022,2,2022-01-24,2022-01-24,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,24,Monday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600131,C001,2022,2,2022-02-23,2022-02-23,02월,500010,Transporting,손익계산서(PL),500,차변(Debit),,,,매입송장,해당없음,,2022,2,23,Wednesday,1,FALSE,2,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600132,C001,2022,2,2022-03-14,2022-03-14,03월,500010,Transporting,손익계산서(PL),250,차변(Debit),,,,매입송장,해당없음,,2022,3,14,Monday,1,FALSE,3,250,0,250,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600133,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),225,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,225,0,225,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600134,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),250,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,250,0,250,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600135,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600136,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600137,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600138,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600139,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,차변(Debit),,,,매입송장,해당없음,,2022,3,18,Friday,1,FALSE,3,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600140,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),500,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600141,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),1000,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,1000,0,1000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600142,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),600,차변(Debit),,,,매입송장,해당없음,,2022,4,12,Tuesday,2,FALSE,4,600,0,600,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600118,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,차변(Debit),,Cost Center-Purchase and Stores,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600119,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,차변(Debit),,Cost Center-Purchase and Stores,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600118,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,차변(Debit),,Cost Center-Purchase and Stores,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600119,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,차변(Debit),,Cost Center-Purchase and Stores,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,1500,0,1500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600117,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),3000,차변(Debit),,L-Gaming,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,3000,0,3000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600117,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),3000,차변(Debit),,L-Gaming,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,3000,0,3000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600105,C003,2022,2,2022-01-25,2022-01-25,01월,500010,Transporting,손익계산서(PL),300,차변(Debit),,,,매입송장,해당없음,,2022,1,25,Tuesday,1,FALSE,1,300,0,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600106,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,26,Wednesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600107,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),1200,차변(Debit),,,,매입송장,해당없음,,2022,1,26,Wednesday,1,FALSE,1,1200,0,1200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600105,C003,2022,2,2022-01-25,2022-01-25,01월,500010,Transporting,손익계산서(PL),300,차변(Debit),,,,매입송장,해당없음,,2022,1,25,Tuesday,1,FALSE,1,300,0,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600106,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,26,Wednesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600107,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),1200,차변(Debit),,,,매입송장,해당없음,,2022,1,26,Wednesday,1,FALSE,1,1200,0,1200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600111,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),300,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,300,0,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600112,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600113,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),2175,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,2175,0,2175,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600111,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),300,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,300,0,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600112,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600113,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),2175,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,2175,0,2175,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600114,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),3,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,3,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600115,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),1,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600116,C005,2022,2,2022-02-01,2022-02-01,02월,500010,Transporting,손익계산서(PL),20,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,20,0,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600114,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),3,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,3,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600115,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),1,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5105600116,C005,2022,2,2022-02-01,2022-02-01,02월,500010,Transporting,손익계산서(PL),20,차변(Debit),,,,매입송장,해당없음,,2022,2,1,Tuesday,1,FALSE,2,20,0,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000007,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),500,차변(Debit),,,,매입송장,해당없음,,2022,1,27,Thursday,1,FALSE,1,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000012,USA1,2022,2,2022-02-03,2022-02-03,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),40,차변(Debit),,,,매입송장,해당없음,,2022,2,3,Thursday,1,FALSE,2,40,0,40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000008,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),400,차변(Debit),,,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,400,0,400,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000009,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),120,차변(Debit),,,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,120,0,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000010,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),80,차변(Debit),,,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,80,0,80,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000011,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),200,차변(Debit),,,,매입송장,해당없음,,2022,2,2,Wednesday,1,FALSE,2,200,0,200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000000,USA1,2022,2,2022-01-19,2022-01-19,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,19,Wednesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000001,USA1,2022,2,2022-01-19,2022-01-19,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,19,Wednesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000002,USA1,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,20,Thursday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000003,USA1,2022,2,2022-01-31,2022-01-31,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),400,차변(Debit),,,,매입송장,해당없음,,2022,1,31,Monday,1,FALSE,1,400,0,400,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5100000004,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),200,차변(Debit),,,,매입송장,해당없음,,2022,1,27,Thursday,1,FALSE,1,200,0,200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000024,USA1,2022,1,2022-01-25,2022-01-21,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000027,USA1,2022,1,2022-01-25,2022-01-25,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000032,USA1,2022,1,2022-01-28,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),10,차변(Debit),2000,,,배송출고,해당없음,,2022,1,28,Friday,1,FALSE,1,10,0,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000000,USA1,2022,3,2022-01-17,2022-01-17,01월,231500,Loss from price differences of own products,손익계산서(PL),90,차변(Debit),Supplier to Cymbal,,,입고,해당없음,,2022,1,17,Monday,1,FALSE,1,90,0,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5000000001,USA1,2022,3,2022-01-19,2022-01-19,01월,231500,Loss from price differences of own products,손익계산서(PL),90,차변(Debit),Supplier to Cymbal,,,입고,해당없음,,2022,1,19,Wednesday,1,FALSE,1,90,0,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5000000002,USA1,2022,3,2022-01-20,2022-01-20,01월,231500,Loss from price differences of own products,손익계산서(PL),90,차변(Debit),Supplier to Cymbal,,,입고,해당없음,,2022,1,20,Thursday,1,FALSE,1,90,0,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4900000013,USA1,2022,2,2022-01-21,2022-01-21,01월,231500,Loss from price differences of own products,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,21,Friday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000025,USA1,2022,2,2022-01-25,2022-01-21,01월,231500,Loss from price differences of own products,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000026,USA1,2022,2,2022-01-25,2022-01-25,01월,231500,Loss from price differences of own products,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000028,USA1,2022,2,2022-01-25,2022-01-25,01월,231500,Loss from price differences of own products,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000031,USA1,2022,2,2022-01-28,2022-01-27,01월,231500,Loss from price differences of own products,손익계산서(PL),10,차변(Debit),2000,,,배송출고,해당없음,,2022,1,28,Friday,1,FALSE,1,10,0,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000034,USA1,2022,2,2022-02-06,2022-02-06,02월,231500,Loss from price differences of own products,손익계산서(PL),100,차변(Debit),2000,,,배송출고,해당없음,,2022,2,6,Sunday,1,TRUE,2,100,0,100,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5100000000,EU01,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,차변(Debit),,,,매입송장,해당없음,,2022,1,20,Thursday,1,FALSE,1,100,0,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000008,EU01,2022,1,2022-01-25,2022-01-24,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),880,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,880,0,880,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000002,EU01,2022,2,2022-01-23,2022-01-23,01월,231500,Loss from price differences of own products,손익계산서(PL),880,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,23,Sunday,1,TRUE,1,880,0,880,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
4900000003,EU01,2022,2,2022-01-23,2022-01-23,01월,231500,Loss from price differences of own products,손익계산서(PL),880,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,23,Sunday,1,TRUE,1,880,0,880,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
4900000004,EU01,2022,2,2022-01-24,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),176,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,24,Monday,1,FALSE,1,176,0,176,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000005,EU01,2022,2,2022-01-24,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),880,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,24,Monday,1,FALSE,1,880,0,880,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4900000009,EU01,2022,2,2022-01-25,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),880,차변(Debit),Supplier to Cymbal,,,배송출고,해당없음,,2022,1,25,Tuesday,1,FALSE,1,880,0,880,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000007,USA1,2022,1,2022-01-27,2022-01-27,01월,300000,Raw material 1,손익계산서(PL),500,차변(Debit),gates engineering,,,입고,해당없음,,2022,1,27,Thursday,1,FALSE,1,500,0,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000003,USA1,2022,1,2022-01-31,2022-01-31,01월,300000,Raw material 1,손익계산서(PL),400,차변(Debit),Supplier to Cymbal,,,입고,해당없음,,2022,1,31,Monday,1,FALSE,1,400,0,400,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000004,USA1,2022,1,2022-01-27,2022-01-27,01월,300000,Raw material 1,손익계산서(PL),200,차변(Debit),Supplier to Cymbal,,,입고,해당없음,,2022,1,27,Thursday,1,FALSE,1,200,0,200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000017,USA1,2022,1,2022-02-03,2022-02-03,02월,792000,Finished goods,손익계산서(PL),200,차변(Debit),Industry Intel,,,입고,해당없음,,2022,2,3,Thursday,1,FALSE,2,200,0,200,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5000000008,USA1,2022,1,2022-02-02,2022-02-02,02월,792000,Finished goods,손익계산서(PL),2000,차변(Debit),Industry Intel,,,입고,해당없음,,2022,2,2,Wednesday,1,FALSE,2,2000,0,2000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
