전표번호,회사코드,회계연도,라인번호,전기일,증빙일,회계월,계정코드,계정명,계정속성(BS/PL),통합순금액(Net),통합거래처명,원가센터명(부서명),적요,전표성격,역분개여부,역분개참조번호
5105600136,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600140,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),500,,,,매입송장,해당없음,
5105600141,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),1000,,,,매입송장,해당없음,
5105600142,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),600,,,,매입송장,해당없음,
5105600101,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),15,,,,매입송장,해당없음,
5105600102,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),150,,,,매입송장,해당없음,
5105600103,C001,2022,2,2022-01-23,2022-01-23,01월,500010,Transporting,손익계산서(PL),1200,,,,매입송장,해당없음,
5105600104,C001,2022,2,2022-01-24,2022-01-24,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600131,C001,2022,2,2022-02-23,2022-02-23,02월,500010,Transporting,손익계산서(PL),500,,,,매입송장,해당없음,
5105600132,C001,2022,2,2022-03-14,2022-03-14,03월,500010,Transporting,손익계산서(PL),250,,,,매입송장,해당없음,
5105600133,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),225,,,,매입송장,해당없음,
5105600134,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),250,,,,매입송장,해당없음,
5105600135,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600136,C001,2022,2,2022-03-18,2022-03-18,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600137,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600138,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600139,C001,2022,2,2022-03-18,2022-03-19,03월,500010,Transporting,손익계산서(PL),1500,,,,매입송장,해당없음,
5105600140,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),500,,,,매입송장,해당없음,
5105600141,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),1000,,,,매입송장,해당없음,
5105600142,C001,2022,2,2022-04-12,2022-04-12,04월,500010,Transporting,손익계산서(PL),600,,,,매입송장,해당없음,
5105600118,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600119,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600118,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600119,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600117,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),3000,,L-Gaming,,매입송장,해당없음,
5105600117,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),3000,,L-Gaming,,매입송장,해당없음,
5105600105,C003,2022,2,2022-01-25,2022-01-25,01월,500010,Transporting,손익계산서(PL),300,,,,매입송장,해당없음,
5105600106,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600107,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),1200,,,,매입송장,해당없음,
5105600105,C003,2022,2,2022-01-25,2022-01-25,01월,500010,Transporting,손익계산서(PL),300,,,,매입송장,해당없음,
5105600106,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600107,C003,2022,2,2022-01-26,2022-01-26,01월,500010,Transporting,손익계산서(PL),1200,,,,매입송장,해당없음,
5105600111,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),300,,,,매입송장,해당없음,
5105600112,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600113,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),2175,,,,매입송장,해당없음,
5105600111,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),300,,,,매입송장,해당없음,
5105600112,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),100,,,,매입송장,해당없음,
5105600113,C004,2022,2,2022-01-31,2022-01-31,01월,500010,Transporting,손익계산서(PL),2175,,,,매입송장,해당없음,
5105600114,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),3,,,,매입송장,해당없음,
5105600115,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),1,,,,매입송장,해당없음,
5105600116,C005,2022,2,2022-02-01,2022-02-01,02월,500010,Transporting,손익계산서(PL),20,,,,매입송장,해당없음,
5105600114,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),3,,,,매입송장,해당없음,
5105600115,C005,2022,2,2022-02-01,2021-02-01,02월,500010,Transporting,손익계산서(PL),1,,,,매입송장,해당없음,
5105600116,C005,2022,2,2022-02-01,2022-02-01,02월,500010,Transporting,손익계산서(PL),20,,,,매입송장,해당없음,
5100000007,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),500,,,,매입송장,해당없음,
5100000012,USA1,2022,2,2022-02-03,2022-02-03,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),40,,,,매입송장,해당없음,
5100000008,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),400,,,,매입송장,해당없음,
5100000009,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),120,,,,매입송장,해당없음,
5100000010,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),80,,,,매입송장,해당없음,
5100000011,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),200,,,,매입송장,해당없음,
5100000000,USA1,2022,2,2022-01-19,2022-01-19,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,,,,매입송장,해당없음,
5100000001,USA1,2022,2,2022-01-19,2022-01-19,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,,,,매입송장,해당없음,
5100000002,USA1,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,,,,매입송장,해당없음,
5100000003,USA1,2022,2,2022-01-31,2022-01-31,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),400,,,,매입송장,해당없음,
5100000004,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),200,,,,매입송장,해당없음,
4900000024,USA1,2022,1,2022-01-25,2022-01-21,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000027,USA1,2022,1,2022-01-25,2022-01-25,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000032,USA1,2022,1,2022-01-28,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),10,2000,,,배송출고,해당없음,
5000000000,USA1,2022,3,2022-01-17,2022-01-17,01월,231500,Loss from price differences of own products,손익계산서(PL),90,Supplier to Cymbal,,,입고,해당없음,
5000000001,USA1,2022,3,2022-01-19,2022-01-19,01월,231500,Loss from price differences of own products,손익계산서(PL),90,Supplier to Cymbal,,,입고,해당없음,
5000000002,USA1,2022,3,2022-01-20,2022-01-20,01월,231500,Loss from price differences of own products,손익계산서(PL),90,Supplier to Cymbal,,,입고,해당없음,
4900000013,USA1,2022,2,2022-01-21,2022-01-21,01월,231500,Loss from price differences of own products,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000025,USA1,2022,2,2022-01-25,2022-01-21,01월,231500,Loss from price differences of own products,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000026,USA1,2022,2,2022-01-25,2022-01-25,01월,231500,Loss from price differences of own products,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000028,USA1,2022,2,2022-01-25,2022-01-25,01월,231500,Loss from price differences of own products,손익계산서(PL),100,2000,,,배송출고,해당없음,
4900000031,USA1,2022,2,2022-01-28,2022-01-27,01월,231500,Loss from price differences of own products,손익계산서(PL),10,2000,,,배송출고,해당없음,
4900000034,USA1,2022,2,2022-02-06,2022-02-06,02월,231500,Loss from price differences of own products,손익계산서(PL),100,2000,,,배송출고,해당없음,
5100000000,EU01,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),100,,,,매입송장,해당없음,
4900000008,EU01,2022,1,2022-01-25,2022-01-24,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),880,Supplier to Cymbal,,,배송출고,해당없음,
4900000002,EU01,2022,2,2022-01-23,2022-01-23,01월,231500,Loss from price differences of own products,손익계산서(PL),880,Supplier to Cymbal,,,배송출고,해당없음,
4900000003,EU01,2022,2,2022-01-23,2022-01-23,01월,231500,Loss from price differences of own products,손익계산서(PL),880,Supplier to Cymbal,,,배송출고,해당없음,
4900000004,EU01,2022,2,2022-01-24,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),176,Supplier to Cymbal,,,배송출고,해당없음,
4900000005,EU01,2022,2,2022-01-24,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),880,Supplier to Cymbal,,,배송출고,해당없음,
4900000009,EU01,2022,2,2022-01-25,2022-01-24,01월,231500,Loss from price differences of own products,손익계산서(PL),880,Supplier to Cymbal,,,배송출고,해당없음,
5000000007,USA1,2022,1,2022-01-27,2022-01-27,01월,300000,Raw material 1,손익계산서(PL),500,gates engineering,,,입고,해당없음,
5000000003,USA1,2022,1,2022-01-31,2022-01-31,01월,300000,Raw material 1,손익계산서(PL),400,Supplier to Cymbal,,,입고,해당없음,
5000000004,USA1,2022,1,2022-01-27,2022-01-27,01월,300000,Raw material 1,손익계산서(PL),200,Supplier to Cymbal,,,입고,해당없음,
5000000017,USA1,2022,1,2022-02-03,2022-02-03,02월,792000,Finished goods,손익계산서(PL),200,Industry Intel,,,입고,해당없음,
5000000008,USA1,2022,1,2022-02-02,2022-02-02,02월,792000,Finished goods,손익계산서(PL),2000,Industry Intel,,,입고,해당없음,
5000000009,USA1,2022,1,2022-02-02,2022-02-02,02월,792000,Finished goods,손익계산서(PL),600,Industry Intel,,,입고,해당없음,
5000000010,USA1,2022,1,2022-02-02,2022-02-02,02월,792000,Finished goods,손익계산서(PL),400,Industry Intel,,,입고,해당없음,
5000000012,USA1,2022,1,2022-02-02,2022-02-02,02월,792000,Finished goods,손익계산서(PL),1000,Industry Intel,,,입고,해당없음,
5000000000,USA1,2022,1,2022-01-17,2022-01-17,01월,792000,Finished goods,손익계산서(PL),10,Supplier to Cymbal,,,입고,해당없음,
5000000001,USA1,2022,1,2022-01-19,2022-01-19,01월,792000,Finished goods,손익계산서(PL),10,Supplier to Cymbal,,,입고,해당없음,
5000000002,USA1,2022,1,2022-01-20,2022-01-20,01월,792000,Finished goods,손익계산서(PL),10,Supplier to Cymbal,,,입고,해당없음,
5000000000,EU01,2022,1,2022-01-20,2022-01-20,01월,300000,Raw material 1,손익계산서(PL),100,TEST EU VENDOR,,,입고,해당없음,
5105600120,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),-1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600120,C001,2022,2,2022-02-02,2022-02-02,02월,500020,Forwarding charges,손익계산서(PL),-1500,,Cost Center-Purchase and Stores,,매입송장,해당없음,
5105600121,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),-3000,,L-Gaming,,매입송장,해당없음,
5105600121,C001,2022,2,2022-02-01,2022-02-01,02월,510020,Consumption - Finished Goods,손익계산서(PL),-3000,,L-Gaming,,매입송장,해당없음,
5000000007,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-500,gates engineering,,,입고,해당없음,
5000000017,USA1,2022,2,2022-02-03,2022-02-03,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-40,Industry Intel,,,입고,해당없음,
5000000008,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-400,Industry Intel,,,입고,해당없음,
5000000009,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-120,Industry Intel,,,입고,해당없음,
5000000010,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-80,Industry Intel,,,입고,해당없음,
5000000012,USA1,2022,2,2022-02-02,2022-02-02,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-200,Industry Intel,,,입고,해당없음,
5000000000,USA1,2022,2,2022-01-17,2022-01-17,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,Supplier to Cymbal,,,입고,해당없음,
5000000001,USA1,2022,2,2022-01-19,2022-01-19,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,Supplier to Cymbal,,,입고,해당없음,
5000000002,USA1,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,Supplier to Cymbal,,,입고,해당없음,
5000000003,USA1,2022,2,2022-01-31,2022-01-31,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-400,Supplier to Cymbal,,,입고,해당없음,
5000000004,USA1,2022,2,2022-01-27,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-200,Supplier to Cymbal,,,입고,해당없음,
4900000013,USA1,2022,1,2022-01-21,2022-01-21,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000025,USA1,2022,1,2022-01-25,2022-01-21,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000026,USA1,2022,1,2022-01-25,2022-01-25,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000028,USA1,2022,1,2022-01-25,2022-01-25,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000031,USA1,2022,1,2022-01-28,2022-01-27,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-10,2000,,,배송출고,해당없음,
4900000034,USA1,2022,1,2022-02-06,2022-02-06,02월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,2000,,,배송출고,해당없음,
5000000017,USA1,2022,3,2022-02-03,2022-02-03,02월,281500,Gain from own product price differences,손익계산서(PL),-160,Industry Intel,,,입고,해당없음,
5000000008,USA1,2022,3,2022-02-02,2022-02-02,02월,281500,Gain from own product price differences,손익계산서(PL),-1600,Industry Intel,,,입고,해당없음,
5000000009,USA1,2022,3,2022-02-02,2022-02-02,02월,281500,Gain from own product price differences,손익계산서(PL),-480,Industry Intel,,,입고,해당없음,
5000000010,USA1,2022,3,2022-02-02,2022-02-02,02월,281500,Gain from own product price differences,손익계산서(PL),-320,Industry Intel,,,입고,해당없음,
5000000012,USA1,2022,3,2022-02-02,2022-02-02,02월,281500,Gain from own product price differences,손익계산서(PL),-800,Industry Intel,,,입고,해당없음,
4900000024,USA1,2022,2,2022-01-25,2022-01-21,01월,281500,Gain from own product price differences,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000027,USA1,2022,2,2022-01-25,2022-01-25,01월,281500,Gain from own product price differences,손익계산서(PL),-100,2000,,,배송출고,해당없음,
4900000032,USA1,2022,2,2022-01-28,2022-01-27,01월,281500,Gain from own product price differences,손익계산서(PL),-10,2000,,,배송출고,해당없음,
5000000000,EU01,2022,2,2022-01-20,2022-01-20,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-100,TEST EU VENDOR,,,입고,해당없음,
4900000002,EU01,2022,1,2022-01-23,2022-01-23,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-880,Supplier to Cymbal,,,배송출고,해당없음,
4900000003,EU01,2022,1,2022-01-23,2022-01-23,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-880,Supplier to Cymbal,,,배송출고,해당없음,
4900000004,EU01,2022,1,2022-01-24,2022-01-24,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-176,Supplier to Cymbal,,,배송출고,해당없음,
4900000005,EU01,2022,1,2022-01-24,2022-01-24,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-880,Supplier to Cymbal,,,배송출고,해당없음,
4900000009,EU01,2022,1,2022-01-25,2022-01-24,01월,191100,GR/IR-clearing - external procurement,손익계산서(PL),-880,Supplier to Cymbal,,,배송출고,해당없음,
4900000008,EU01,2022,2,2022-01-25,2022-01-24,01월,281500,Gain from own product price differences,손익계산서(PL),-880,Supplier to Cymbal,,,배송출고,해당없음,
90001618,C001,2022,1,2022-04-21,2022-04-21,04월,121000,Unfinished products,손익계산서(PL),448.8,Bulls Eye,,,청구서검증,해당없음,
90001200,C003,2022,1,2022-04-24,2022-04-24,04월,121000,Unfinished products,손익계산서(PL),3743.55,customer-CA-Ontario,,,청구서검증,해당없음,
90001200,C003,2022,1,2022-04-24,2022-04-24,04월,121000,Unfinished products,손익계산서(PL),867.15,customer-CA-Ontario,,,청구서검증,해당없음,
90001201,C003,2022,1,2022-04-24,2022-04-24,04월,121000,Unfinished products,손익계산서(PL),909.45,customer-CA-Ontario,,,청구서검증,해당없음,
90001202,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),545.67,customer-CA-Ontario,,,청구서검증,해당없음,
90001203,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),727.56,customer-CA-Ontario,,,청구서검증,해당없음,
90001204,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),909.45,customer-CA-Ontario,,,청구서검증,해당없음,
90001205,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),682.44,customer-CA-Ontario,,,청구서검증,해당없음,
90001206,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),583.74,customer-CA-Ontario,,,청구서검증,해당없음,
90001207,C003,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),783.96,customer-CA-Ontario,,,청구서검증,해당없음,
90001243,C004,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),438.68,customer-GE-Hamburg,,,청구서검증,해당없음,
90001244,C004,2022,1,2022-04-25,2022-04-25,04월,121000,Unfinished products,손익계산서(PL),599.76,customer-GE-Hamburg,,,청구서검증,해당없음,
1800000000,C001,2022,1,2022-01-10,2022-01-10,01월,121000,Unfinished products,손익계산서(PL),1100,CDA_Test_99,,,고객청구서,해당없음,
1800000000,C002,2022,1,2022-02-04,2022-02-04,02월,121000,Unfinished products,손익계산서(PL),1000,Customer-Los Angeles,,,고객청구서,해당없음,
1800000000,C003,2022,1,2022-02-17,2022-02-17,02월,121000,Unfinished products,손익계산서(PL),7500,customer-CA-New Brunswick,,,고객청구서,해당없음,
1800000000,C005,2022,1,2022-02-17,2022-02-15,02월,121000,Unfinished products,손익계산서(PL),10.5,customer-JP-JAPAN,,,고객청구서,해당없음,
1800000001,C001,2022,1,2022-02-17,2022-02-17,02월,121000,Unfinished products,손익계산서(PL),1100,customer-New York,,,고객청구서,해당없음,
1800000002,C002,2022,1,2022-02-17,2022-02-17,02월,121000,Unfinished products,손익계산서(PL),2200,Customer-Los Angeles,,,고객청구서,해당없음,
1800000001,C002,2022,1,2022-02-17,2022-02-17,02월,121000,Unfinished products,손익계산서(PL),2200,Customer-Los Angeles,,,고객청구서,해당없음,
90000003,C002,2022,1,2022-01-23,2022-01-23,01월,121000,Unfinished products,손익계산서(PL),1320,US01 I/C Customer,,,청구서검증,해당없음,
90000031,C003,2022,1,2022-01-25,2022-01-25,01월,121000,Unfinished products,손익계산서(PL),1095,customer-CA-Nova Scotia,,,청구서검증,해당없음,
90000000,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1011.5,customer-Berlin,,,청구서검증,해당없음,
90000001,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),9520,customer-Berlin,,,청구서검증,해당없음,
90000002,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1011.5,customer-Berlin,,,청구서검증,해당없음,
90000003,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),2320.5,customer-Berlin,,,청구서검증,해당없음,
90000005,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1249.5,customer-Berlin,,,청구서검증,해당없음,
90000007,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),15470,customer-Berlin,,,청구서검증,해당없음,
90000009,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1844.5,customer-Berlin,,,청구서검증,해당없음,
90000010,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),238,customer-Berlin,,,청구서검증,해당없음,
90000011,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),773.5,customer-Berlin,,,청구서검증,해당없음,
90000012,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),238,customer-Berlin,,,청구서검증,해당없음,
90000013,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),8330,customer-Berlin,,,청구서검증,해당없음,
90000014,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),2380,customer-Berlin,,,청구서검증,해당없음,
90000015,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),2082.5,customer-Berlin,,,청구서검증,해당없음,
90000017,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1011.5,customer-Berlin,,,청구서검증,해당없음,
90000019,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),13090,customer-Berlin,,,청구서검증,해당없음,
90000021,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1130.5,customer-Berlin,,,청구서검증,해당없음,
90000023,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),476,customer-Berlin,,,청구서검증,해당없음,
90000025,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),4760,customer-Berlin,,,청구서검증,해당없음,
90000026,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1190,customer-Berlin,,,청구서검증,해당없음,
90000027,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),1011.5,customer-Berlin,,,청구서검증,해당없음,
90000028,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),476,customer-Berlin,,,청구서검증,해당없음,
90000029,C004,2022,1,2022-01-31,2022-01-31,01월,121000,Unfinished products,손익계산서(PL),8925,customer-Berlin,,,청구서검증,해당없음,
90000015,C005,2022,1,2022-02-01,2022-02-01,02월,121000,Unfinished products,손익계산서(PL),18.38,customer-JP-JAPAN,,,청구서검증,해당없음,
90000017,C005,2022,1,2022-02-01,2022-02-01,02월,121000,Unfinished products,손익계산서(PL),8.93,customer-JP-JAPAN,,,청구서검증,해당없음,
90000019,C005,2022,1,2022-02-01,2022-02-01,02월,121000,Unfinished products,손익계산서(PL),115.5,customer-JP-JAPAN,,,청구서검증,해당없음,
